internship_title,company_name,category,location,work_mode,start_date,duration,stipend,currency,stipend_type,payment_period,has_incentives,stipend_min,stipend_max,stipend_average,search_text
Finance & Accounting,MetrixLab,Finance / Accounting,Hyderabad,On-site,Immediately,3 Months,S$ 239 /month,SGD,Paid Amount,Per Month,False,239.0,239.0,239.0,Finance & Accounting MetrixLab Finance / Accounting Hyderabad On-site 3 Months Paid Amount SGD
Customer Relationship,NoBroker Technologies Solutions Private Limited,Other,Bangalore,On-site,Immediately,3 Months,S$ 160 /month,SGD,Paid Amount,Per Month,False,160.0,160.0,160.0,Customer Relationship NoBroker Technologies Solutions Private Limited Other Bangalore On-site 3 Months Paid Amount SGD
Talent Acquisition,Amara Raja Group,Design / Creative,Hyderabad,On-site,Immediately,3 Months,S$ 200 /month,SGD,Paid Amount,Per Month,False,200.0,200.0,200.0,Talent Acquisition Amara Raja Group Design / Creative Hyderabad On-site 3 Months Paid Amount SGD
Communication & Project Management,Teach For India,HR / Admin / Operations,Hyderabad,On-site,Immediately,3 Months,S$ 53 /month,SGD,Paid Amount,Per Month,False,53.0,53.0,53.0,Communication & Project Management Teach For India HR / Admin / Operations Hyderabad On-site 3 Months Paid Amount SGD
Logistics And Operations,Delhivery,HR / Admin / Operations,Mumbai,On-site,Immediately,3 Months,S$ 106 /month,SGD,Paid Amount,Per Month,False,106.0,106.0,106.0,Logistics And Operations Delhivery HR / Admin / Operations Mumbai On-site 3 Months Paid Amount SGD
Event Management,Times Internet,HR / Admin / Operations,Noida,On-site,Immediately,3 Months,S$ 133 /month,SGD,Paid Amount,Per Month,False,133.0,133.0,133.0,Event Management Times Internet HR / Admin / Operations Noida On-site 3 Months Paid Amount SGD
Content Writing,LeadSquared,Writing / Content,Bangalore,On-site,Immediately,3 Months,S$ 266 /month,SGD,Paid Amount,Per Month,False,266.0,266.0,266.0,Content Writing LeadSquared Writing / Content Bangalore On-site 3 Months Paid Amount SGD
Environment Education Program (Mumbai),WWF-India,Technology / Data,Mumbai,On-site,Immediately,3 Months,S$ 133 /month,SGD,Paid Amount,Per Month,False,133.0,133.0,133.0,Environment Education Program (Mumbai) WWF-India Technology / Data Mumbai On-site 3 Months Paid Amount SGD
Business Development (Sales),Anarock Property Consultant Private Limited,Technology / Data,Bangalore,On-site,Immediately,3 Months,S$ 266 /month,SGD,Paid Amount,Per Month,False,266.0,266.0,266.0,Business Development (Sales) Anarock Property Consultant Private Limited Technology / Data Bangalore On-site 3 Months Paid Amount SGD
Human Resources (HR),Zee Media Corporation Limited,HR / Admin / Operations,Noida,On-site,Immediately,3 Months,S$ 27 /month,SGD,Paid Amount,Per Month,False,27.0,27.0,27.0,Human Resources (HR) Zee Media Corporation Limited HR / Admin / Operations Noida On-site 3 Months Paid Amount SGD
